"name";"nickname";"wins";"losses";"draws";"height_cm";"weight_in_kg";"reach_in_cm";"stance";"date_of_birth";"significant_strikes_landed_per_minute";"significant_striking_accuracy";"significant_strikes_absorbed_per_minute";"significant_strike_defence";"average_takedowns_landed_per_15_minutes";"takedown_accuracy";"takedown_defense";"average_submissions_attempted_per_15_minutes";"performance_metric"
"Aaron Ely";"The Cyborg";5;2;0;172.72;61.23;0.0;"";"";0.82;15.0;0.66;69.0;2.47;100.0;50.0;4.9;-6.42857
"Aaron Phillips";"The Dragon";12;5;0;175.26;61.23;180.34;"Southpaw";"1989-08-05";1.51;53.0;3.66;43.0;0.86;50.0;44.0;0.6;-16.5294
"Aaron Riley";"";30;14;1;172.72;70.31;175.26;"Southpaw";"1980-12-09";3.45;34.0;3.78;61.0;1.18;34.0;60.0;0.1;-50.0
"Aaron Rosa";"";18;6;0;193.04;92.99;195.58;"Orthodox";"1983-05-28";4.03;47.0;4.41;45.0;0.36;33.0;85.0;0.4;-16.5
"Aaron Simpson";"A-Train";12;5;0;182.88;77.11;185.42;"Orthodox";"1974-07-20";3.6;52.0;2.53;56.0;3.78;34.0;83.0;0.5;-16.5294
"Abdul Razak Alhassan";"";12;6;0;177.8;83.91;185.42;"Orthodox";"1985-08-11";3.37;48.0;3.99;55.0;0.89;38.0;50.0;0.2;-22.0
"Abdul-Kerim Edilov";"";17;4;0;187.96;92.99;0.0;"Orthodox";"1991-11-25";10.22;61.0;0.13;92.0;3.98;100.0;0.0;2.0;-6.2381
"Abel Cullum";"The Silent Assassin";20;6;0;170.18;63.05;0.0;"Orthodox";"1987-04-21";1.82;40.0;1.23;46.0;4.01;52.0;0.0;2.8;-14.6154
"Abel Trujillo";"Killa";15;8;0;172.72;70.31;177.8;"Orthodox";"1983-09-18";2.65;41.0;2.31;59.0;2.18;45.0;40.0;0.4;-30.2174
"Abongo Humphrey";"";7;3;0;180.34;92.99;0.0;"Orthodox";"";1.45;40.0;3.83;46.0;1.41;37.0;33.0;3.8;-10.1
"Achmed Labasanov";"";7;4;0;190.5;97.52;0.0;"Orthodox";"1978-04-24";0.75;39.0;1.1;46.0;3.0;100.0;0.0;0.8;-15.5455
"Adam Antolin";"Captain Chaos";12;3;0;165.1;56.7;160.02;"Orthodox";"1982-02-28";5.73;52.0;5.0;69.0;0.0;0.0;100.0;0.0;-5.4
"Adam Cella";"El Naturel";6;8;0;187.96;77.11;0.0;"";"";1.91;42.0;2.61;51.0;3.92;75.0;50.0;1.3;-37.4286
"Adam Khaliev";"";6;0;0;182.88;77.11;0.0;"Orthodox";"1984-04-16";0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6.0
"Adam Lynn";"";17;10;0;177.8;70.31;0.0;"Orthodox";"";1.47;63.0;6.95;10.0;0.0;0.0;50.0;0.0;-39.2963
"Adam Meredith";"";5;3;0;187.96;77.11;0.0;"";"";2.63;50.0;2.11;55.0;7.89;100.0;100.0;7.9;-11.875
"Adam Piccolotti";"";9;0;0;180.34;70.31;0.0;"";"";4.61;50.0;2.83;71.0;2.96;60.0;100.0;3.0;9.0
"Adam Wieczorek";"Siwy";10;2;0;195.58;113.4;205.74;"Orthodox";"1992-02-05";1.68;38.0;1.87;48.0;0.41;33.0;58.0;0.4;-1.66667
"Adam Yandiev";"Boroda";9;1;0;175.26;83.91;187.96;"Orthodox";"1988-08-07";0.18;8.0;6.14;36.0;0.0;0.0;25.0;0.0;3.1
"Adrian Yanez";"";16;5;0;170.18;61.23;177.8;"Orthodox";"1993-11-29";6.15;39.0;5.73;57.0;0.0;0.0;100.0;0.0;-12.8095
"Adriano Martins";"";28;9;0;177.8;70.31;182.88;"Southpaw";"1982-12-16";1.8;38.0;2.14;65.0;0.83;80.0;81.0;0.4;-23.8108
"Aisling Daly";"Ais the Bash";16;6;0;157.48;52.16;162.56;"Orthodox";"1987-12-24";2.92;52.0;1.4;55.0;2.15;41.0;33.0;0.9;-18.3636
"AJ Dobson";"";7;2;0;185.42;83.91;193.04;"Orthodox";"1992-01-18";4.38;47.0;5.25;47.0;1.82;75.0;64.0;0.3;-4.55556
"AJ Fletcher";"The Ghost";10;3;0;177.8;77.11;170.18;"Switch";"1997-02-18";3.36;49.0;4.61;46.0;1.54;35.0;33.0;0.9;-7.30769
"AJ McKee";"Mercenary";8;0;0;177.8;65.77;0.0;"";"";2.75;32.0;0.92;80.0;11.01;100.0;100.0;11.0;8.0
"AJ Siscoe";"Let's Go";1;2;0;170.18;61.23;0.0;"";"";0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-9.66667
"Akbarh Arreola";"El Caballero";23;11;1;177.8;70.31;180.34;"Southpaw";"1983-01-14";2.32;45.0;4.01;56.0;1.07;100.0;33.0;0.4;-39.8857
"Akihiro Gono";"";35;21;8;170.18;77.11;172.72;"Switch";"1974-10-07";2.18;48.0;2.67;63.0;1.01;84.0;46.0;0.5;-85.8594
"Akira Shoji";"";14;17;5;172.72;88.45;0.0;"Orthodox";"1974-01-31";1.03;34.0;2.63;53.0;1.79;73.0;82.0;0.4;-79.5556
"Akitoshi Tamura";"The Ironman";21;18;2;175.26;61.23;177.8;"Orthodox";"1980-05-31";3.73;43.0;1.94;78.0;0.0;0.0;20.0;1.0;-79.2439
"Akiyo Nishiura";"Wicky Akiyo";13;8;1;172.72;63.05;0.0;"Southpaw";"1983-08-08";1.59;57.0;1.26;57.0;0.0;0.0;52.0;0.3;-32.3182
